name,artist,cluster
Until You Come Back to Me (That's What I'm Gonna Do),Aretha Franklin,2
Everyday,Fiona Apple,2
Rockers! (Downtown Upstyling),The Beautiful Girls,1
Old Time Lovin',Al Green,2
Life in Tokyo,Japan,9
Sweet Home Chicago,Robert Johnson,5
Man on Fire,Edward Sharpe & The Magnetic Zeros,5
The last wig,Barth,1
Get on Down,Eddie Harris,0
Altogether Alone,Hirth Martinez,2
On Melancholy Hill,Gorillaz,10
What Goes Around.../...Comes Around (Interlude),Justin Timberlake,9
Automatic,The Pointer Sisters,1
Fruit Machine,The Ting Tings,8
Su What?,Awanto 3,0
Wa-Do-Dem,Eek-A-Mouse,6
I'm Getting Ready,Michael Kiwanuka,2
Me And Armini (Simone Lombardi Mix),Emilíana Torrini,1
Settle Down,The Black Seeds,4
My Back Pages,The Byrds,8
Baby Please Don’t Go,Big Joe Williams,5
I'm Broke,Black Joe Lewis & The Honeybears,6
I Kissed A Girl,Ben L'Oncle Soul,1
Jive to the Beat,Arno,6
Chicken Strut,The Meters,9
(What A) Wonderful World,David Bromberg,2
Feeling In Time,Spirit,4
Sweatshop,De Staat,8
Quiller,Quiller,10
Lightning Bolt,Jake Bugg,1
Zomer Aan De Wand,Faberyayo,3
Seaside,Kultiration,6
Behind It All,Kris Berry,2
When We Got There,Dan Lyth,5
Piece of My Heart,Erma Franklin,8
Move Bitch,Disturbing Tha Peace,8
Gita,Moderat,10
Rockets,The Nextmen,6
Just Try,Mason Jennings,5
Roforofo Fight,Fela Kuti,0
Bogotá,Criolo,1
The Way You Treat Me (Mean And Evil) - Remastered,Elmore James,2
For The Love Of You,John Holt,6
Modern Drift,Efterklang,10
The Best,I Monster,10
Do the Right Thing,D.I.D,1
Carolina,Seu Jorge,4
Que Beleza,Tim Maia,8
Colours,Donovan,4
"Baby Let Me Follow You Down (feat. Frank Schalkwijk, Koen-Willem Toering, Nick Schuit, Arn Kortooms & Nicky Hustinx)",Maurits Westerik,1
Night People,Robert Palmer,6
In Your Arms,Chef'Special,5
Sydney (I'll Come Running),Brett Dennen,8
Awkward,San Cisco,8
Nothing At All,Wolf in Loveland,4
Animal,Miike Snow,1
Taking Punches,Francisco The Man,1
Sing to Me,Emika,10
Black (feat. Norah Jones),Danger Mouse,8
More Than I Can Say,June Lodge,2
Happy Pills,Norah Jones,8
Angeles,Goldroom,10
They Don't Make Them Like You Anymore,Rory Gallagher,1
Harvest Moon,Poolside,9
King,UB40,6
Fresh and Foolish feat. Sarah Palin,Kalabrese,6
Sex on Fire,Kings of Leon,8
Stone Cold Sober,Paloma Faith,1
Red Red Wine,Tony Tribe,6
Zdarlight - Chopstick & Johnjon Remix,Digitalism,0
Ramblin' on My Mind,Robert Johnson,2
Call You Out ft. Scribe,Ladi6,1
Acapulco & LA,Clubfeet,1
Just Ain't Gonna Work Out,Mayer Hawthorne,1
Stretch Your Rubber Band - Single Version,The Meters,1
Move With You,Yellus,1
Beggin' - 2007 Remaster,Frankie Valli & The Four Seasons,4
Cowgirl in the Sand - Live,"Crosby, Stills, Nash & Young",9
Sing,Ed Sheeran,1
here come the girls,Ernie K-Doe,2
Buddy X,Neneh Cherry,6
"One, Two Step (feat. Missy Elliott)",Ciara,6
The Joker,Steve Miller Band,9
Hear Me Out,Splendid,1
Boa Sorte / Good Luck (feat. Ben Harper),Vanessa Da Mata,4
Die A Happy Man (feat Jane Tyrrell),Tuka,4
Ode to Subterrania,Hooded Fang,8
Warwick Avenue,Duffy,8
Can't Kick the Habit,Champion Jack Dupree,5
Swimsuit,Staygold,1
The Worker,Fischer-Z,6
The Weight Of My Days,Dazzled Kid,9
Hot Dreams,Timber Timbre,7
Pussy,Brazilian Girls,9
You & Me - Flume Remix,Disclosure,4
Float,FTSE,5
Freak-A-Holic - Unmixed,The Egyptian Lover,6
Glow,Retro Stefson,6
Better Sorry Than Safe,Bodies of Work,8
"Corrina, Corrina",Bob Dylan,5
A.M. 180,Grandaddy,10
It Don't Matter,Donavon Frankenreiter,6
Roadrunner (Once),The Modern Lovers,3
This Room,Fat Freddy's Drop,6
Saints,Little Legend,4
Yebo,The Art Of Noise,8
Stop That Train,Clint Eastwood & General Saint,3
MYB,Oliver,10
Mind Off Of Me,Richie Spice,9
Reborn,Klak Tik,2
Country Road,James Taylor,5
Hello,The Cat Empire,3
Easy Please Me,Katy B,1
Little Talks,Of Monsters and Men,4
Moondance,Van Morrison,4
"Well OK, Honey",Jenny O.,6
To Kingdom Come,Passion Pit,1
Let Me Go (Leave Me Alone) - Remastered Version,Christine Perfect,2
Skinny Genes,Eliza Doolittle,1
Insane in the Brain,The Connells,3
"Sorri, Sou Rei (feat. Claudia Leitte)",Natiruts,1
Who Says,John Mayer,4
Summertime Rock Steady,Ernest Ranglin,5
A Place In The Sun,Stevie Wonder,9
Funky Drummer,James Brown,0
Too Much Alcohol,J.B. Hutto and His Hawks,2
Let the Spirit,Amy Ray,5
Rational Culture,Tim Maia,0
Bohannon,Fat Freddy's Drop,0
Dancing On The Edge Of Our Graves,Born Ruffians,4
"The Good, The Bad & The Ugly",The Treble Spankers,8
Inner Ninja (feat. David Myles),Classified,1
Clean The House,Fat Freddy's Drop,4
Best of My Love,The Emotions,6
Big Black Car,Gregory Alan Isakov,5
Moments,Freddie Joachim,10
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,1
Tenere Taqqim Tossam,Tinariwen,2
Tenderoni,Chromeo,10
Let's Go,Prace,10
Dock Boggs Country Blues,Kelly Joe Phelps,5
Cat's in the Cradle,Harry Chapin,4
"Falling, Catching",Agnes Obel,5
The Banks of the Ohio,Vandaveer,5
Stapje Terug,Glen Faria,8
Eastbound,The Budos Band,10
Pretend,Dennis Brown,3
Over And Over,Hot Chip,1
Knee Hang Gang,Old,4
Calor de Veracruz,Gaby Moreno Y Su Orquesta,5
Streets of London,Ralph McTell,5
Storm,Rare Silk,5
No Doubt (feat. Rosie Lowe),Lil Silva,10
A Sailor's Song,David Philips,2
44 Blues,Roosevelt Sykes,5
Atrás Da Porta,Elis Regina,5
Am I Right Or Wrong,Son House,5
Oyster and Pearl,Amy Ray,5
Rapture,Dub Pistols,1
Take It Slow feat. Joe Dukie & U-Brown,Boozoo Bajou,6
I Don't Worry About a Thing,Mose Allison,5
Zorbing,Stornoway,8
Run Run Run,Phoenix,8
Back To Black,Amy Winehouse,4
My Heart,Lizz Wright,2
Bloodbuzz Ohio,The National,8
The Harder They Come,Joe Jackson,6
Super Cool,Carrie Riley & The Fascinations,1
Best Of Both Worlds,Robert Palmer,6
One's Company,A K U A,2
Frontier Psychiatrist,The Avalanches,3
I'm Thinking Sunshine,Max & Simon,1
Shadows,Woolfy,10
Spotlight,Leagues,8
Ta douleur,Camille,2
Head Games,Lost Midas,4
Look-Ka Py Py,The Meters,8
Mommy Daddy You and I,Talking Heads,2
Bulletproof,La Roux,1
Drug Dealer Girl,Mike Posner,1
Come Save Me,Jagwar Ma,1
Got to Be More,Korby Lenker,4
Misread,Kings of Convenience,8
It Is What It Is,Blood Orange,4
Shine On,Them Vibes,8
Waiting On the World to Change,John Mayer,8
Pussyfooting,Fujiya & Miyagi,1
I Got Skills,Mozes and the Firstborn,1
Trouble Town,Jake Bugg,1
Love Love Love,Avalanche City,4
Born Under A Bad Sign,Richard Hawley,2
Inner City Blues (Make Me Wanna Holler),Marvin Gaye,2
The Sun Ain't Shining No More - Acoustic Version,The Asteroids Galaxy Tour,9
Orange Blossom Special,Johnny Cash,1
Revolving Doors,Gorillaz,6
Life Is Real,Ayọ,2
London Calling (Album Version) [feat. Don Letts & Dan Donovan],Dubmatix,8
Say It - Original Mix,Bronze Whale,10
Pōpoki Slack Key - Instrumental,Ray Kane,7
I Don't Wanna Lose,Splendid,9
Saw You First,GIVERS,4
Banana Ripple,Junior Boys,0
Clouds of all your rain,Andrew Collberg,1
Listen To Your Heartbeat,Dave Aju,3
Chinese Children,Devendra Banhart,1
I Walk the Line,Johnny Cash,2
Loveland - Studio Version,Milky Chance,5
Bad Girls,M.I.A.,1
